cluster_key,cluster_id,company_key,company_name,company_role,source_table
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0001,ALASKA DWIPA PERDANA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0002,AMANAT SEPUH LESTARI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0003,ANG AND FANG BROTHER,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0004,ANUGERAH ARGA PRATAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0005,Abadi Nikel Nusantara,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0006,BIMA CAKRA PERKASA MINERALINDO,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0007,BINEKA KARYA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0008,BINTANG SINAR PERKASA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0009,BINTANGDELAPAN MINERAL,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0010,BRATAMA MERCINDO ABADI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0011,BUMI KALAENA PERSADA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0012,BUMI MATANO INDAH,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0013,BUMI MOROWALI UTAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0014,BUMI ROUTA MINING,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0015,CAHAYA GINDA GANDA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0016,CAHYA ADITAMA TEKNINDO,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0017,CETARA BANGUN PERSADA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0018,CITRA ANGGUN BARATAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0019,DELAPAN INTI POWER,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0020,DUA SAUDARA NIKELINDO,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0021,EMAS HIJAU JAYA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0022,ERABARU TIMUR LESTARI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0023,FADLAN MULIA JAYA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0024,FAJAR PRIMA SUKSES,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0025,GALIH INSTRUMENTASI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0026,GENBA MULTI MINERAL,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0027,GITA FLORA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0028,GRAHA MINING UTAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0029,HARAPAN JAYA NIKELINDO,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0030,HENGJAYA MINERALINDO,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0031,HERBINDO LIFE SANOBAR,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0032,INDOBERKAH JAYA MANDIRI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0033,INDUSTRI TAMBANG UTAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0034,KENCANA BUMI MINERAL,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0035,KENCANA NUSANTARA SAKTI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0036,KIMBERWAN INTERBUANA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0037,KURNIA DEGESS RAPTAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0038,LABOTA BAHODOPI SORAJAI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0039,LAROENAI BUNGSEL SORAJAI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0040,MACRO PURI INDAH PERKASA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0041,MAGHANTARA MULTIMEDIA NUSAPHALA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0042,MAHLIGAI ARTHA SEJAHTERA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0043,MAKARTI PADABAHO SORAJAI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0044,MAKASSAR SUKSES SEJAHTERA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0045,MINERAL BUMI NUSANTARA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0046,MITRA JAYA PERKASA ABADI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0047,MITRA KARYA AGUNG LESTARI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0048,MULAI DARI INDONESIA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0049,MULIA TANGJONG,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0050,MULTI MENTARI INTERNUSA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0051,NUSA MINERAL SEMESTA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0052,NUSAJAYA PERSADATAMA MANDIRI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0053,ODDELL INDONESIA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0054,OTI EYA ABADI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0055,PAM MINERAL,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0056,PT MITRA SULAWESI BERSAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0057,PUTRA SULAWESI MINNING,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0058,RAIHAN CATURPUTRA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0059,ROUDHOH PRATAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0060,SARANA ERANAS TAMBANG,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0061,SARANA MAJU CEMERLANG,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0062,SELARAS MAJU,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0063,SUGICO PENDRAGON ENERGI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0064,SUMBER PERMATA MINERAL,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0065,SYNERGY BARAPRIMA GEMILANG,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0066,TANJUNG BATANGA SAKTI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0067,TEKNIK ALUM SERVICE,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0068,TERATAI BINDO UTAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0069,TIGA BAJI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0070,TOPOGARO BUNGBAR SORAJAI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0071,VITA INDAH SEJATI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0072,WAHIDA PERSADA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0073,WOSINDO MINERAL PERKASA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0074,WOSINDO PERKASA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0075,VALE INDONESIA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0076,ANUGERAH BATU PUTIH,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0077,ASET SULAWESI MINERALINDO,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0078,BAHOEA ALAM JAYA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0079,BATU ALAM PRIMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0080,BATU TAMBANG SAMBALAGI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0081,BATUAN UNGGUL PERKASA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0082,BERKAH UTAMA MOROWALI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0083,BIOMAS INTERNASIONAL,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0084,BRAVO MAHESA ARKATAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0085,BUKIT INDAH NIRWANA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0086,BUMI MOROWALI ABADI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0087,BUMI NICKEL MOROWALI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0088,CAHAYA ALAM MAKMUR,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0089,CAHAYA MINERAL INDUSTRI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0090,CAHAYA MINERAL SEJAHTERA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0091,CALMONA PRIMA JAYA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0092,CETARA KARYA PERKASA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0093,CIPTA MINERAL PERKASA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0094,DAMPALA SEJAHTERA BERSAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0095,DENMAR JAYA MANDIRI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0096,DUTA SARANA MINERAL,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0097,FINARA RAMA MOROWALI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0098,GOSYEN ALAM SEJAHTERA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0099,GRAHA BATU PERDANA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0100,GRAHA ISTIKA UTAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0101,HARAPAN BARU,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0102,INIA MPUU SEJAHTERA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0103,INVESTASI STALAKTIT INDONESIA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0104,JASATAMA MANDIRI SUKSES,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0105,KENCANA BATU ALAM,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0106,LEWUTO BIMA PERSADA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0107,LOGAM JAYA UTAMA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0108,MAKMUR TAMIN RAYA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0109,MENDUI PUTERA ABADI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0110,MINERAL BUMI PULUTI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0111,MOFARAH ENERGI TOPOGARO,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0112,MOROWALI BANGKIT SEJAHTERA,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0113,MOROWALI NUSANTARA MINERAL,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0114,MULIA JAYA MOROWALI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0115,MUTIA KARYA MANDIRI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0116,MUTIARA SELATAN,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0117,NATURAL PERSADA MOROWALI,iup_holder,priority_company_roster
CLUSTER-001,NODE-SULTENG-MOROWALI-IMIP,COMP-0118,NOVUS BUMI PERSADA,iup_holder,priority_company_roster
