provinsi,tahun,lapangan_usaha,nilai_milyar_rp,satuan
Sulawesi Tengah,2016,Tidak ada,56.03,Juta Rupiah
Sulawesi Tengah,2017,Tidak ada,38.59,Juta Rupiah
Sulawesi Tengah,2018,Tidak ada,-2.4,Juta Rupiah
Sulawesi Tengah,2019,Tidak ada,20.94,Juta Rupiah
Sulawesi Tengah,2020,Tidak ada,8.42,Juta Rupiah
Sulawesi Tengah,2021,Tidak ada,10.94,Juta Rupiah
Sulawesi Barat,2016,Tidak ada,95.58,Juta Rupiah
Sulawesi Barat,2017,Tidak ada,95.56,Juta Rupiah
Sulawesi Barat,2018,Tidak ada,96.05,Juta Rupiah
Sulawesi Barat,2019,Tidak ada,95.82,Juta Rupiah
