provinsi,tahun,kategori,satuan,nilai
GORONTALO,2022,Ekspor Migas,Juta USD,0.0
GORONTALO,2022,Ekspor Non-Migas,Juta USD,103989.6
GORONTALO,2023,Ekspor Migas,Juta USD,0.0
GORONTALO,2023,Ekspor Non-Migas,Juta USD,110353.6
GORONTALO,2024,Ekspor Migas,Juta USD,0.0
GORONTALO,2024,Ekspor Non-Migas,Juta USD,120147.2
GORONTALO,2025,Ekspor Non-Migas,Juta USD,179563.0
GORONTALO,2026,Ekspor Non-Migas,Juta USD,37938.0
SULAWESI BARAT,2022,Ekspor Migas,Juta USD,0.0
SULAWESI BARAT,2022,Ekspor Non-Migas,Juta USD,944324.2
SULAWESI BARAT,2023,Ekspor Migas,Juta USD,0.0
SULAWESI BARAT,2023,Ekspor Non-Migas,Juta USD,945475.3
SULAWESI BARAT,2024,Ekspor Migas,Juta USD,0.0
SULAWESI BARAT,2024,Ekspor Non-Migas,Juta USD,867578.9
SULAWESI BARAT,2025,Ekspor Non-Migas,Juta USD,1268445.2999999998
SULAWESI BARAT,2026,Ekspor Non-Migas,Juta USD,300959.2
SULAWESI SELATAN,2022,Ekspor Migas,Juta USD,0.0
SULAWESI SELATAN,2022,Ekspor Non-Migas,Juta USD,5119339.6
SULAWESI SELATAN,2023,Ekspor Migas,Juta USD,0.0
SULAWESI SELATAN,2023,Ekspor Non-Migas,Juta USD,4681522.6
SULAWESI SELATAN,2024,Ekspor Migas,Juta USD,0.0
SULAWESI SELATAN,2024,Ekspor Non-Migas,Juta USD,4118605.5
SULAWESI SELATAN,2025,Ekspor Migas,Juta USD,72032.8
SULAWESI SELATAN,2025,Ekspor Non-Migas,Juta USD,3972146.5
SULAWESI SELATAN,2026,Ekspor Non-Migas,Juta USD,773685.7
SULAWESI TENGAH,2022,Ekspor Migas,Juta USD,3512560.1
SULAWESI TENGAH,2022,Ekspor Non-Migas,Juta USD,34399946.4
SULAWESI TENGAH,2023,Ekspor Migas,Juta USD,3314107.0
SULAWESI TENGAH,2023,Ekspor Non-Migas,Juta USD,35457749.3
SULAWESI TENGAH,2024,Ekspor Migas,Juta USD,3386824.4
SULAWESI TENGAH,2024,Ekspor Non-Migas,Juta USD,39287665.0
SULAWESI TENGAH,2025,Ekspor Migas,Juta USD,2338647.7
SULAWESI TENGAH,2025,Ekspor Non-Migas,Juta USD,42293420.0
SULAWESI TENGAH,2026,Ekspor Migas,Juta USD,546464.1
SULAWESI TENGAH,2026,Ekspor Non-Migas,Juta USD,11860942.8
SULAWESI TENGGARA,2022,Ekspor Migas,Juta USD,0.0
SULAWESI TENGGARA,2022,Ekspor Non-Migas,Juta USD,11663415.3
SULAWESI TENGGARA,2023,Ekspor Migas,Juta USD,0.0
SULAWESI TENGGARA,2023,Ekspor Non-Migas,Juta USD,8596253.2
SULAWESI TENGGARA,2024,Ekspor Migas,Juta USD,0.0
SULAWESI TENGGARA,2024,Ekspor Non-Migas,Juta USD,7716547.3
SULAWESI TENGGARA,2025,Ekspor Non-Migas,Juta USD,7447748.4
SULAWESI TENGGARA,2026,Ekspor Non-Migas,Juta USD,1907336.7000000002
SULAWESI UTARA,2022,Ekspor Migas,Juta USD,0.0
SULAWESI UTARA,2022,Ekspor Non-Migas,Juta USD,2239699.2
SULAWESI UTARA,2023,Ekspor Migas,Juta USD,0.0
SULAWESI UTARA,2023,Ekspor Non-Migas,Juta USD,1777349.9
SULAWESI UTARA,2024,Ekspor Migas,Juta USD,0.0
SULAWESI UTARA,2024,Ekspor Non-Migas,Juta USD,1678966.4
SULAWESI UTARA,2025,Ekspor Non-Migas,Juta USD,2472808.9
SULAWESI UTARA,2026,Ekspor Non-Migas,Juta USD,605763.2
